 160,   0,   1,   1,   0,   0,   0,   0,   4,   2,   0,   0,   0,   2,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   1,   0,   0,   0,   1,   0,   0,   0,   1,   0,   0,   0,   0,   1,   1,   2,   0,   0,   0,   0,   1,   0,   0,   0
   0, 142,   0,   0,   0,   2,   0,   0,   1,   0,   0,   0,   1,   1,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   3,   1,   0,   0,   0,   1
   1,   0, 138,   0,   6,   0,   0,   0,   1,   0,   2,   0,   1,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   0,   0,   0,   0,   0,   1
   1,   0,   0, 150,   2,   0,   0,   0,   1,   0,   0,   0,   1,   0,   0,   1,   0,   1,   0,   0,   0,   0,   1,   0,   1,   0,   0,   1,   0,   0,   1,   0,   1,   0,   0,   2,   1,   1,   0,   0,   0,   3,   0,   0,   0,   3,   1,   1,   0,   0,   0
   1,   0,   4,   1, 129,   0,   0,   0,   0,   1,   1,   0,   1,   0,   1,   0,   0,   0,   0,   0,   2,   0,   0,   0,   0,   0,   0,   2,   0,   0,   0,   5,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   1
   2,   0,   1,   0,   0, 142,   0,   0,   0,   0,   0,   1,   0,   1,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   1,   0,   0,   1,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   3,   0
   1,   0,   1,   1,   3,   0, 121,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   2,   0,   0,   0,   0,   0,   0,   1,   1,   4,   0,   3,   0,   0,   1,   0,   0,   3,   1,   0,   0,   0,   2,   1,   0,   0,   1,   0,   0,   0,   2
   0,   0,   0,   0,   0,   0,   0, 160,   1,   0,   0,   0,   0,   0,   0,   1,   0,   1,   0,   2,   0,   0,   0,   0,   0,   0,   1,   0,   1,   1,   0,   2,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   2,   1,   0,   0,   0,   1,   0,   2
   2,   0,   0,   0,   2,   0,   1,   0, 145,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   1,   1,   0,   1,   0,   0,   1,   0,   0,   1,   0,   0,   0,   0,   2
   2,   0,   0,   0,   1,   1,   1,   0,   2, 121,   0,   1,   0,   0,   0,   1,   0,   0,   0,   0,   0,   1,   1,   1,   1,   0,   0,   0,   1,   0,   0,   0,   1,   0,   1,   0,   0,   0,   0,   1,   0,   1,   2,   2,   0,   2,   1,   0,   0,   0,   1
